Sample	BeeP-01-2013	BeeP-02-2013	BeeP-03-2013	BeeP-04-2013	BeeP-05-2013	BeeP-06-2013	BeeP-07-2013	BeeP-08-2013	BeeP-09-2013	BeeP-10-2013	BeeP-11-2013	BeeP-12-2013	BeeP-13-2013	BeeP-14-2013	BeeP-15-2013	BeeP-16-2013	BeeP-17-2013	BeeP-18-2013	BeeP-19-2013	BeeP-20-2013	BeeP-21-2013	BeeP-22-2013	BeeP-23-2013	BeeP-24-2013	BeeP-25-2013	BeeP-26-2013	BeeP-27-2013	BeeP-28-2013	BeeP-29-2013	BeeP-30-2013	BeeP-31-2013	BeeP-32-2013	BeeP-33-2013	BeeP-34-2013	BeeP-35-2013	BeeP-36-2013	BeeP-37-2013	BeeP-38-2013	BeeP-39-2013	BeeP-40-2013	BeeP-41-2013	BeeP-42-2013	BeeP-43-2013	BeeP-44-2013	BeeP-45-2013	BeeP-46-2013	BeeP-47-2013	BeeP-48-2013	BeeP-49-2013	BeeP-50-2013	BeeP-Q1-2013	BeeP-Q2-2013	BP10	BP11	BP12	BP13	BP14	BP15	BP16	BP17	BP18	BP19	BP1	BP20	BP21	BP22	BP23	BP24	BP25	BP26	BP27	BP28	BP29	BP2	BP30	BP31	BP32	BP33	BP34	BP35	BP36	BP37	BP38	BP39	BP3	BP40	BP41	BP42	BP43	BP44	BP45	BP46	BP47	BP48	BP49	BP4	BP50	BP5	BP6	BP7	BP8	BP9
BP15_NODE_14_length_2188_cov_1_108853	0	0	0	0	0	192	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	4	0	2	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	4	0	0	2	0	370	0	9	2	5	0	0	0	0	4	1	0	0	27	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	51	0	0	1	0	0
BP15_NODE_17_length_2029_cov_1_376310	0	0	0	0	0	169	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	4	0	0	0	0	328	0	0	4	7	0	0	0	0	4	0	0	0	9	0	2	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	2	0	0	4	3	0	0	0	21	0	0	0	0	0
BP15_NODE_21_length_1989_cov_11_700214	10	2273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0	10	112	11	0	0	0	88	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5713	0	0	0	2	0	0	0	0	4529	1	0	0	0	2	0	0	0	0	0	2	0	0	0	69	0	0	0	19892	4	0	0	0	0	0	0	0	0	0	0	2	2	0	38949	0	0	1780	0	0	3	114	3	1	4
BP15_NODE_29_length_1662_cov_0_990915	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	7	18	0	0	0	0	4	1	0	0	24	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	0	16	0	0	0	0	0
BP15_NODE_36_length_1579_cov_0_982853	0	0	0	0	0	107	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	6	0	0	4	0	146	1	0	2	4	0	0	0	0	14	2	4	2	29	0	0	0	0	6	2	0	0	11	0	0	0	0	1	0	0	0	5	2	0	0	0	0	0	1	21	0	0	0	0	0
BP15_NODE_42_length_1550_cov_0_890133	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	202	0	0	2	0	0	0	0	0	2	4	0	0	9	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	11	0	0	0	0	0
BP15_NODE_49_length_1461_cov_1_601493	0	0	4	0	5	1	0	0	0	0	472	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	24	0	0	1	0	0	0	0	0	0	4	0	0	0	0	19	0	241	1	46	2	0	0	0	1	1	314	2	4	0	3	0	0	0	0	30	18	2	0	1	0	0	0	9	0	0	0	0	2	0	0	0	0	2	0	0	0	2	4	0	1	0	9	6	0	16	0	0	0	0	2
BP15_NODE_50_length_1460_cov_1_559373	0	0	0	0	0	62	0	0	0	0	28	5	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	4	0	0	0	2	0	1	0	0	426	0	4	0	3	0	0	0	2	4	5	0	0	15	2	0	0	0	10	0	3	0	4	0	0	0	0	2	0	0	0	2	2	2	0	0	0	0	0	22	0	0	2	0	0
BP15_NODE_55_length_1417_cov_1_386574	0	0	0	0	0	123	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	296	2	0	2	6	0	0	2	0	6	8	0	0	33	0	0	0	0	2	0	0	2	8	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	32	0	0	0	1	0
BP15_NODE_62_length_1378_cov_1_307876	0	0	0	0	0	192	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	4	0	0	0	0	376	0	0	6	4	0	0	0	2	6	2	0	0	31	0	0	0	0	2	0	0	0	7	2	0	0	0	0	0	0	0	4	4	2	0	0	0	0	4	11	0	0	0	0	1
